,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3159,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,15.0,28.0,21.0,10.0,10.0,11.0,13.0,13.0,14.0,18.0
3160,0.0,0.0,0.0,1.0,0.0,2.0,3.0,8.0,61.0,62.0,46.0,42.0,37.0,57.0,41.0,26.0,46.0,80.0
3161,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,19.0,36.0,24.0,26.0,16.0,36.0,17.0,31.0,35.0,53.0
3162,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,37.0,73.0,70.0,49.0,40.0,60.0,44.0,30.0,45.0,89.0
3163,0.0,0.0,1.0,1.0,0.0,1.0,7.0,23.0,71.0,138.0,137.0,97.0,76.0,75.0,64.0,57.0,86.0,135.0
3164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,6.0,1.0,2.0,1.0,2.0
3165,0.0,0.0,0.0,0.0,0.0,2.0,3.0,17.0,73.0,165.0,170.0,96.0,109.0,119.0,63.0,54.0,82.0,169.0
3166,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,58.0,152.0,113.0,119.0,77.0,99.0,78.0,53.0,50.0,128.0
3167,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,23.0,67.0,68.0,67.0,48.0,45.0,39.0,15.0,29.0,84.0
3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,82.0,71.0,58.0,42.0,51.0,33.0,19.0,30.0,83.0
3169,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,39.0,132.0,149.0,109.0,79.0,83.0,47.0,40.0,72.0,191.0
3170,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,70.0,192.0,164.0,109.0,86.0,101.0,69.0,68.0,75.0,193.0
3171,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,107.0,159.0,197.0,187.0,100.0,84.0,48.0,38.0,58.0,170.0
3172,0.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,57.0,171.0,213.0,187.0,127.0,127.0,73.0,60.0,82.0,217.0
3173,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,156.0,298.0,305.0,253.0,166.0,217.0,152.0,109.0,178.0,425.0
3174,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,78.0,220.0,289.0,227.0,167.0,167.0,105.0,71.0,108.0,270.0
3175,0.0,0.0,0.0,2.0,0.0,1.0,2.0,12.0,147.0,315.0,397.0,251.0,223.0,251.0,159.0,156.0,232.0,470.0
3176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3177,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,32.0,76.0,96.0,70.0,46.0,46.0,32.0,27.0,37.0,63.0
3178,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,391.0,408.0,408.0,284.0,210.0,212.0,166.0,131.0,176.0,347.0
3179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,62.0,74.0,49.0,44.0,45.0,20.0,27.0,30.0,61.0
3180,0.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,68.0,124.0,78.0,50.0,36.0,45.0,36.0,29.0,41.0,72.0
3181,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,20.0,29.0,21.0,15.0,16.0,19.0,25.0,26.0,49.0,43.0
3182,0.0,0.0,0.0,2.0,2.0,1.0,2.0,8.0,12.0,20.0,17.0,21.0,20.0,28.0,44.0,18.0,56.0,29.0
3183,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,23.0,32.0,26.0,32.0,17.0,39.0,17.0,31.0,44.0,50.0
3184,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,24.0,36.0,38.0,12.0,15.0,35.0,36.0,32.0,55.0,36.0
3185,0.0,0.0,1.0,1.0,0.0,1.0,7.0,8.0,15.0,44.0,40.0,35.0,23.0,47.0,21.0,28.0,35.0,41.0
3186,0.0,0.0,2.0,0.0,1.0,6.0,8.0,9.0,45.0,114.0,67.0,74.0,58.0,80.0,61.0,70.0,73.0,123.0
3187,0.0,0.0,0.0,0.0,2.0,2.0,4.0,7.0,70.0,223.0,62.0,37.0,48.0,67.0,51.0,51.0,48.0,81.0
3188,0.0,0.0,0.0,0.0,1.0,5.0,5.0,7.0,41.0,110.0,75.0,73.0,56.0,72.0,50.0,45.0,84.0,95.0
3189,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,36.0,25.0,31.0,14.0,46.0,40.0,86.0,50.0,45.0
3190,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,21.0,50.0,46.0,37.0,30.0,37.0,31.0,25.0,33.0,54.0
3191,0.0,0.0,0.0,1.0,3.0,4.0,8.0,6.0,32.0,48.0,34.0,34.0,40.0,51.0,22.0,28.0,36.0,64.0
3192,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,54.0,123.0,138.0,96.0,80.0,79.0,71.0,52.0,129.0,174.0
3193,0.0,0.0,0.0,1.0,1.0,5.0,6.0,13.0,57.0,102.0,71.0,80.0,72.0,98.0,70.0,71.0,108.0,137.0
3194,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,34.0,60.0,46.0,43.0,30.0,56.0,32.0,32.0,45.0,98.0
3195,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,110.0,300.0,275.0,192.0,201.0,221.0,163.0,106.0,208.0,316.0
3196,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,153.0,194.0,200.0,129.0,111.0,146.0,94.0,70.0,90.0,218.0
3197,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,199.0,95.0,119.0,72.0,57.0,76.0,49.0,46.0,71.0,70.0
3198,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,197.0,145.0,164.0,116.0,110.0,107.0,83.0,55.0,92.0,145.0
3199,0.0,0.0,0.0,3.0,1.0,0.0,12.0,41.0,420.0,439.0,474.0,311.0,253.0,314.0,192.0,206.0,256.0,438.0
3200,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,47.0,58.0,34.0,31.0,23.0,11.0,21.0,17.0,29.0
3201,0.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,182.0,186.0,274.0,152.0,138.0,176.0,127.0,128.0,131.0,257.0
3202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,23.0,28.0,12.0,9.0,13.0,8.0,7.0,16.0,24.0
3204,0.0,0.0,1.0,1.0,1.0,1.0,11.0,16.0,89.0,166.0,136.0,85.0,113.0,135.0,77.0,54.0,81.0,177.0
3205,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,13.0,22.0,14.0,10.0,14.0,12.0,16.0,27.0,26.0
3206,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,18.0,26.0,21.0,15.0,27.0,30.0,30.0,20.0,49.0,29.0
3207,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,16.0,32.0,23.0,21.0,17.0,33.0,31.0,20.0,41.0,40.0
3211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,21.0,32.0,25.0,14.0,12.0,10.0,10.0,13.0,22.0
3212,0.0,0.0,0.0,0.0,1.0,2.0,2.0,17.0,68.0,201.0,273.0,210.0,163.0,115.0,113.0,91.0,100.0,198.0
3214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,77.0,237.0,368.0,263.0,126.0,118.0,71.0,78.0,82.0,126.0
3215,0.0,0.0,0.0,0.0,1.0,0.0,2.0,19.0,54.0,172.0,215.0,203.0,123.0,106.0,85.0,98.0,93.0,158.0
3216,0.0,0.0,1.0,0.0,0.0,0.0,8.0,60.0,261.0,597.0,661.0,546.0,391.0,327.0,218.0,248.0,297.0,536.0
3218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,40.0,98.0,118.0,88.0,51.0,60.0,52.0,49.0,40.0,93.0
3219,1.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,150.0,238.0,277.0,196.0,123.0,130.0,72.0,68.0,98.0,168.0
3220,0.0,0.0,0.0,0.0,3.0,0.0,2.0,11.0,61.0,118.0,116.0,101.0,65.0,85.0,63.0,74.0,92.0,128.0
3221,0.0,0.0,2.0,2.0,2.0,1.0,13.0,8.0,78.0,127.0,133.0,26.0,7.0,8.0,7.0,6.0,11.0,14.0
3222,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,65.0,161.0,241.0,194.0,157.0,167.0,131.0,135.0,147.0,252.0
3223,0.0,0.0,0.0,0.0,1.0,0.0,3.0,18.0,58.0,121.0,142.0,144.0,92.0,103.0,79.0,77.0,77.0,158.0
3224,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,54.0,130.0,203.0,179.0,164.0,132.0,94.0,97.0,114.0,156.0
3225,0.0,0.0,1.0,1.0,0.0,2.0,7.0,7.0,27.0,87.0,76.0,69.0,50.0,57.0,74.0,82.0,59.0,76.0
3226,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,50.0,176.0,205.0,194.0,162.0,127.0,126.0,91.0,135.0,315.0
3227,0.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,36.0,62.0,55.0,48.0,61.0,69.0,76.0,53.0,59.0,80.0
3228,0.0,0.0,0.0,0.0,1.0,1.0,6.0,15.0,74.0,218.0,224.0,189.0,125.0,178.0,143.0,124.0,186.0,255.0
3230,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,24.0,58.0,56.0,55.0,42.0,52.0,25.0,31.0,54.0,59.0
3231,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,12.0,27.0,31.0,26.0,12.0,19.0,23.0,23.0,50.0,36.0
3232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0,10.0,10.0,8.0,10.0,9.0,6.0,15.0,12.0
3233,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,13.0,23.0,35.0,33.0,16.0,21.0,11.0,15.0,27.0,44.0
3235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,2.0,5.0,14.0,3.0,4.0,6.0,6.0
3236,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,2.0,7.0
3237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,4.0,2.0,1.0,2.0,3.0,4.0
3238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,8.0,4.0,2.0,0.0,4.0,2.0,6.0
3239,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,8.0,5.0,0.0,3.0,5.0,1.0,9.0,10.0
3240,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,17.0,29.0,31.0,36.0,16.0,22.0,21.0,18.0,26.0,19.0
3241,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,28.0,37.0,43.0,30.0,18.0,21.0,20.0,40.0,32.0
3242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,10.0,15.0,10.0,10.0,11.0,0.0,4.0,14.0,10.0
3243,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,6.0,1.0,4.0,3.0,2.0,6.0,7.0
3249,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,18.0,70.0,31.0,40.0,25.0,25.0,9.0,28.0,45.0,47.0
3250,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,139.0,125.0,150.0,76.0,68.0,32.0,79.0,77.0,90.0
3251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,2.0,12.0,1.0,5.0,5.0,4.0
3254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,6.0,5.0,6.0,3.0,2.0,5.0,6.0
3260,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,28.0,56.0,54.0,33.0,25.0,18.0,32.0,43.0,60.0
3264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,28.0,29.0,14.0,17.0,14.0,21.0,23.0,36.0
3265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,20.0,51.0,19.0,17.0,15.0,10.0,16.0,19.0,82.0
3266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,55.0,41.0,26.0,18.0,11.0,13.0,35.0,44.0
3267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,7.0
3268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,21.0,32.0,25.0,18.0,16.0,17.0,40.0,51.0
3269,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,10.0,3.0,4.0,8.0,6.0,6.0,5.0,13.0,11.0
3270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0
3271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0
3272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,18.0,19.0,14.0,16.0,9.0,12.0,31.0,23.0
3274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,4.0,5.0,1.0,2.0,8.0,6.0
3275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,6.0,2.0,2.0,5.0,3.0
3276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,1.0,4.0,5.0,3.0,4.0,6.0
3277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,19.0,25.0,13.0,9.0,8.0,2.0,11.0,16.0
3279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,5.0,1.0,4.0,3.0,0.0
3280,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,45.0,243.0,255.0,245.0,147.0,156.0,85.0,130.0,154.0,227.0
3281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,32.0,23.0,14.0,18.0,9.0,10.0,16.0,30.0
3282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,32.0,24.0,20.0,12.0,10.0,13.0,14.0,16.0
3283,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,13.0,14.0,7.0,11.0,12.0,9.0,17.0,15.0
3284,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,25.0,35.0,57.0,19.0,28.0,21.0,13.0,29.0,49.0
3285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,11.0,21.0,19.0,7.0,11.0,8.0,11.0,10.0,10.0
3286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,17.0,2.0,4.0,5.0,4.0,1.0,7.0
3287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,5.0,0.0,2.0,3.0,3.0,3.0,2.0
3289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,10.0,10.0,8.0,6.0,9.0,5.0,11.0,9.0
3292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,2.0,2.0,4.0,3.0,1.0,4.0,6.0,3.0
3293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,7.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0
3294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,17.0,14.0,10.0,3.0,10.0,6.0,10.0,6.0
3300,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,12.0,68.0,81.0,155.0,79.0,45.0,47.0,39.0,53.0,79.0
3301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,8.0,25.0,11.0,5.0,10.0,11.0,10.0,15.0
3302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,5.0
3303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,2.0,3.0,3.0,0.0,4.0
3304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,29.0,39.0,38.0,30.0,25.0,17.0,29.0,30.0,25.0
3305,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,28.0,180.0,184.0,198.0,82.0,93.0,60.0,75.0,76.0,154.0
3310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,3.0,4.0,3.0,0.0,1.0,4.0
3311,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,12.0,49.0,27.0,11.0,9.0,11.0,7.0,20.0,16.0
3312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,19.0,9.0,6.0,7.0,3.0,8.0,3.0,12.0
3314,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,9.0,8.0,9.0,3.0,3.0,5.0,1.0,6.0,5.0
3315,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,9.0,17.0,34.0,17.0,12.0,8.0,6.0,12.0,29.0
3317,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
3318,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,10.0,18.0,27.0,9.0,8.0,13.0,3.0,21.0,23.0
3319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0
3321,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,24.0,21.0,22.0,19.0,15.0,15.0,19.0,17.0,33.0
3322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0
3324,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,11.0,8.0,6.0,5.0,3.0,15.0,12.0
3325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,10.0,8.0,12.0,5.0,2.0,12.0,6.0
3328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,29.0,14.0,41.0,29.0,10.0,11.0,15.0,16.0,25.0,34.0
3329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,3.0,1.0,0.0,2.0,4.0,4.0
3330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,8.0,3.0,2.0
3331,0.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,45.0,70.0,122.0,94.0,53.0,65.0,64.0,58.0,64.0,99.0
3332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,10.0,15.0,14.0,14.0,13.0,17.0,13.0,13.0,10.0
3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,12.0,13.0,14.0,9.0,8.0,6.0,8.0,6.0,8.0
3334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,7.0,6.0,5.0,4.0,3.0,2.0,8.0,3.0
3335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,18.0,22.0,22.0,30.0,41.0,71.0,71.0,81.0,163.0
3337,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,135.0,467.0,468.0,379.0,272.0,305.0,292.0,228.0,187.0,397.0
3338,0.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,69.0,224.0,247.0,196.0,168.0,191.0,173.0,174.0,204.0,401.0
3340,0.0,0.0,2.0,0.0,1.0,0.0,4.0,17.0,142.0,307.0,289.0,204.0,181.0,141.0,166.0,136.0,129.0,249.0
3341,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,21.0,28.0,38.0,22.0,17.0,17.0,15.0,14.0,17.0,16.0
3342,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,37.0,92.0,59.0,47.0,24.0,26.0,44.0,28.0,34.0,45.0
3345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,31.0,23.0,23.0,14.0,14.0,16.0,6.0,26.0,21.0
3350,0.0,0.0,0.0,1.0,1.0,5.0,9.0,15.0,164.0,453.0,459.0,395.0,268.0,291.0,191.0,213.0,296.0,592.0
3351,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,40.0,137.0,133.0,136.0,68.0,69.0,60.0,99.0,102.0,135.0
3352,1.0,0.0,1.0,0.0,3.0,1.0,9.0,5.0,90.0,203.0,245.0,194.0,143.0,157.0,119.0,120.0,184.0,279.0
